data,bairro,lat,lon,precip,temp,umid,press,desastre
2025-03-01,Floresta,-26.273127,-48.874337,9.0,24.1,85.6,1012.0,0
2025-03-02,Floresta,-26.272765,-48.872773,10.5,23.8,83.2,1011.8,0
2025-03-03,Floresta,-26.264846,-48.877338,14.7,23.0,91.3,1006.0,0
2025-03-04,Floresta,-26.267025,-48.873587,9.2,23.8,79.0,1012.3,0
2025-03-05,Floresta,-26.273524,-48.877611,10.9,24.2,83.5,1011.1,0
2025-03-06,Floresta,-26.272379,-48.872384,2.4,24.8,84.4,1015.9,0
2025-03-07,Floresta,-26.270413,-48.873897,7.2,24.4,73.7,1012.8,0
2025-03-08,Floresta,-26.271485,-48.878431,81.9,26.2,96.8,1002.8,1
2025-03-09,Floresta,-26.267252,-48.87464,3.7,25.5,86.1,1011.1,0
2025-03-10,Floresta,-26.268239,-48.871936,12.4,21.4,82.7,1014.9,0
2025-03-11,Floresta,-26.269346,-48.881217,11.1,25.1,87.4,1013.0,0
2025-03-12,Floresta,-26.274037,-48.87423,8.6,25.9,79.2,1011.2,0
2025-03-13,Floresta,-26.267719,-48.872809,13.7,26.1,84.9,1009.1,0
2025-03-14,Floresta,-26.272468,-48.879031,3.8,27.3,87.8,1013.2,0
2025-03-15,Floresta,-26.267452,-48.874579,19.9,23.1,82.6,1008.2,0
2025-03-16,Floresta,-26.268739,-48.873922,11.3,23.3,74.1,1007.6,0
2025-03-17,Floresta,-26.26492,-48.871653,7.7,27.9,83.5,1012.7,0
2025-03-18,Floresta,-26.268341,-48.879916,6.9,23.0,89.2,1011.3,0
2025-03-19,Floresta,-26.272834,-48.877446,13.0,22.3,83.7,1011.7,0
2025-03-20,Floresta,-26.274049,-48.872494,2.3,26.3,96.6,1012.0,0
2025-03-21,Floresta,-26.266181,-48.874278,16.3,20.5,88.8,1010.6,0
2025-03-22,Floresta,-26.273337,-48.880391,10.0,26.5,88.8,1011.6,0
2025-03-23,Floresta,-26.269772,-48.875272,59.7,27.9,96.6,1002.6,1
2025-03-24,Floresta,-26.266391,-48.877189,63.5,28.3,94.3,1005.9,1
2025-03-25,Floresta,-26.268365,-48.880419,65.7,22.1,96.6,1002.8,1
2025-03-26,Floresta,-26.271923,-48.879453,8.5,24.5,79.1,1012.8,0
2025-03-27,Floresta,-26.266741,-48.873123,7.5,26.9,79.9,1013.6,0
2025-03-28,Floresta,-26.266706,-48.87164,13.8,27.5,90.6,1009.3,0
2025-03-29,Floresta,-26.266781,-48.879344,10.8,26.1,84.1,1013.8,0
2025-03-30,Floresta,-26.267857,-48.875762,4.9,25.4,80.0,1013.9,0
2025-03-31,Floresta,-26.273039,-48.872982,9.4,29.4,70.1,1010.6,0
2025-04-01,Floresta,-26.27389,-48.875994,12.4,25.6,80.4,1015.7,0
2025-04-02,Floresta,-26.270428,-48.877468,11.6,20.5,86.7,1014.7,0
2025-04-03,Floresta,-26.266938,-48.872861,9.5,26.1,80.4,1008.3,0
2025-04-04,Floresta,-26.266167,-48.879441,15.8,26.5,76.3,1011.2,0
2025-04-05,Floresta,-26.271906,-48.87497,6.7,27.3,85.7,1013.6,0
2025-04-06,Floresta,-26.265,-48.877222,9.3,23.3,79.6,1013.2,0
2025-04-07,Floresta,-26.268447,-48.877742,9.2,27.6,87.5,1014.4,0
2025-04-08,Floresta,-26.267032,-48.873163,13.8,29.4,71.9,1012.4,0
2025-04-09,Floresta,-26.267498,-48.875191,26.1,25.5,78.1,1010.3,0
2025-03-01,Centro,-26.284212,-48.855041,11.7,24.6,77.7,1010.1,0
2025-03-02,Centro,-26.285249,-48.856176,10.9,26.8,93.9,1011.1,0
2025-03-03,Centro,-26.279515,-48.854215,12.6,27.2,87.8,1011.2,0
2025-03-04,Centro,-26.279504,-48.851563,60.9,26.0,96.2,1002.0,1
2025-03-05,Centro,-26.27702,-48.852566,10.2,21.8,71.9,1011.4,0
2025-03-06,Centro,-26.278678,-48.854791,3.5,24.0,79.6,1009.4,0
2025-03-07,Centro,-26.283337,-48.853058,12.5,24.0,73.7,1006.5,0
