Nome: RIO NEGRINHO
Codigo Estacao: A862
Latitude: -26.2486111
Longitude: -49.57416666
Altitude: 856
Situacao: Operante
Data Inicial: 2008-03-21
Data Final: 2025-06-27
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-03-21;null;null;null;null;null;null;null;null;null;null;
2008-03-22;null;null;null;null;null;null;null;null;null;null;
2008-03-23;null;null;null;null;null;null;null;null;null;null;
2008-03-24;null;null;null;null;null;null;null;66;8,5;null;
2008-03-25;1,2;921,6;16,5;21,9;17,8;16,5;92;76;9,7;3,5;
2008-03-26;0;919,9;15,2;21,2;17,5;15,3;86,8;69;8,3;1,6;
2008-03-27;0;916,4;16,1;26,8;19,6;15,6;82,5;45;5,6;1,3;
2008-03-28;0;915,8;17;25,7;19,7;16,6;86,2;51;6,2;1,1;
2008-03-29;0;918,6;15,7;22,2;18,1;15,7;86,8;68;9,8;3,2;
2008-03-30;,2;920,6;13,9;17,7;15,3;14,5;91,8;80;9,3;3,5;
2008-03-31;,6;919;13,2;22,5;15,6;11,1;86,9;55;8;1,9;
2008-04-01;0;916,4;14,2;24,4;17,5;12,9;82,8;47;7;,8;
2008-04-02;0;914,6;15,8;25,8;18,2;13,5;87,3;54;11,6;1;
2008-04-03;,6;914,9;15,3;23,2;18;15,2;85,9;50;6,5;1,2;
2008-04-04;0;916,5;12,7;23,5;16,3;11,6;81,5;46;7,7;2,2;
2008-04-05;0;917,6;12,5;23,5;16,6;12,2;80,5;37;6,1;1,6;
2008-04-06;0;917,2;13,5;24,3;16,6;12,4;84,6;47;7;1,9;
2008-04-07;0;917,1;14,2;26,8;18,6;14,8;78,6;35;7,9;1,7;
2008-04-08;,2;919,1;14,1;27,7;18,4;13,8;80,1;31;6,2;1,4;
