Nome: ITAJAI
Codigo Estacao: A868
Latitude: -26.95083333
Longitude: -48.76194444
Altitude: 9.76
Situacao: Operante
Data Inicial: 2010-06-23
Data Final: 2025-06-27
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2010-06-23;null;null;null;null;null;null;null;null;null;null;
2010-06-24;null;null;null;null;null;null;null;null;null;null;
2010-06-25;null;null;null;null;null;null;null;71;5,4;null;
2010-06-26;null;1021,4;17,7;23;19,4;17,8;90,3;72;4,4;,8;
2010-06-27;0;1019,3;16,9;23,8;19,3;16,4;87,3;62;5,8;1,4;
2010-06-28;0;1019,2;16,1;24,6;18,7;15,2;85,8;61;6,9;2,3;
2010-06-29;0;1022,4;15,7;21,8;18,5;16,4;84,1;67;3,9;,9;
2010-06-30;0;1020,9;15,8;24,7;18,2;15;87,3;57;6,2;1,4;
2010-07-01;0;1021,2;16,4;21,2;18,6;15,6;87,6;73;5,2;1,5;
2010-07-02;0;1021,4;15,5;24,2;18,4;14,7;85,2;55;5,5;,9;
2010-07-03;0;1021,1;14,6;23,1;17,3;13,8;85,6;59;7;1,6;
2010-07-04;0;1021,1;14,3;23,6;17,1;13,4;84,5;59;6,5;1,8;
2010-07-05;0;1020,1;15,3;23,9;18;14,2;86;55;4,7;1,2;
2010-07-06;0;1018,2;15,3;25,7;18,1;14,3;85,2;49;6,4;1,8;
2010-07-07;0;1015,3;16,2;25;18,4;14,9;88,2;60;6,7;1,9;
2010-07-08;,2;1015,7;16,7;24,1;19;15,9;87,2;67;6,7;1,9;
2010-07-09;0;1019,3;16,1;23,2;19;16,9;83,4;64;4,3;,9;
2010-07-10;0;1020,7;16;22,6;18,5;16,3;86;65;4,7;,8;
2010-07-11;1,2;1016,8;17;21,4;18,4;16,5;91,8;80;4,6;,8;
2010-07-12;0;1009,3;17,5;25;19,7;17,5;88,1;66;11,3;1,1;
2010-07-13;25;1012,3;12,4;17,1;14,8;14,1;86,6;54;5,4;1,2;
2010-07-14;,8;1020,8;5,2;17,4;9,9;4,9;75,6;35;6,7;2;
2010-07-15;0;1026;7,3;14;9,1;5,7;88,6;70;5,8;1,9;
2010-07-16;30,4;1030,9;9;12,1;10,4;8,3;91;80;7,2;1,3;
2010-07-17;16;1030,6;12,8;15,5;13,7;9,8;94,3;89;4,7;1,1;
2010-07-18;16;1026,6;15,4;18,3;16,4;13,8;93,8;86;8,6;1,7;
2010-07-19;4,6;1019,5;16,9;19,8;18,8;15,7;89;85;11,7;3,7;
2010-07-20;4,8;1017,9;14,5;20,9;18,1;15,1;80,3;60;10,6;2,4;
2010-07-21;0;1018,1;15,4;18,9;17,2;15,6;88,9;80;4;1,3;
2010-07-22;0;1013,6;16,9;24,6;19,2;16,8;87,3;67;7,8;1,9;
2010-07-23;14,8;1021,8;14,4;16,9;15,7;15,8;92,1;83;5,2;1,3;
2010-07-24;,8;1026,4;11,6;15,1;13,7;12,8;86,8;74;6,2;1,6;
2010-07-25;,2;1020,2;15,6;23;17,4;13,5;89,6;71;8,2;2,1;
2010-07-26;0;1019,4;14,1;21,8;18;15,4;79,8;43;6,6;1,8;
2010-07-27;0;1025,4;11,5;17;15;13,4;79,8;66;3,8;,6;
2010-07-28;0;1024,6;13,9;20,1;16,1;13,5;87,1;73;4,7;1,5;
2010-07-29;0;1020,8;15,8;24,7;18,9;15,1;83;60;6;1,5;
2010-07-30;0;1017,8;17;23,3;19,1;16,8;87,6;68;5,3;1;
2010-07-31;0;1011,2;17,4;24,9;20,2;17,9;84,9;64;5,5;1;
2010-08-01;26,8;1015,8;13,9;19,7;15,8;15,4;88,3;74;5,7;,9;
2010-08-02;1;1024,2;9;14,5;12,7;12;78,5;62;4,5;1;
2010-08-03;6,2;1026,4;8,8;12,3;11,2;10,4;85,3;71;6,1;,7;
2010-08-04;8;1027,9;7,6;11;9,3;8,1;89,8;67;5,8;1,7;
2010-08-05;25;1026;9,6;15,6;11,8;8,4;87;71;7,5;2,4;
2010-08-06;,2;1023,9;9,9;18,9;12,4;9,3;86,5;53;5,1;1,4;
2010-08-07;0;1021;10,9;21,3;14,3;9,5;81,8;49;6;1,8;
2010-08-08;,2;1016,6;13;21,8;14,8;10,6;89,9;65;5,2;1,6;
2010-08-09;,8;1020,3;13,4;17,4;15,7;12,2;86,1;65;5,9;1;
2010-08-10;0;1025,6;12;15,8;14,4;13,3;86;72;3,3;,7;
2010-08-11;0;1025,6;12,9;18,2;15,1;13;86,9;74;3,2;,9;
2010-08-12;0;1019,8;15,2;21,6;17,5;13,9;87,3;69;7;1,5;
2010-08-13;,6;1013;12,4;23,5;18,6;15;70,8;34;16,4;3,9;
2010-08-14;,2;1020,7;7,6;19;13,1;6,7;71,3;40;12;1,7;
2010-08-15;0;1024,6;7,8;18,3;12,4;7;75,8;44;7,6;1,4;
2010-08-16;0;1027,3;8,3;19,9;12,7;8;77,3;47;9,3;2;
2010-08-17;0;1027;10,7;21;14;7,5;82;50;9,9;1,9;
2010-08-18;0;1025,1;11,7;20,3;15,4;11,6;80,5;50;10,5;2,2;
2010-08-19;,2;1020,1;11,3;22,5;14,8;9,5;81,6;53;7,1;2;
2010-08-20;,2;1018;12,6;22,5;15,7;11,1;83,4;58;6,7;1,9;
2010-08-21;0;1021,1;12,1;22,9;14,9;10;84,8;56;6,5;1,6;
2010-08-22;,2;1019,2;15,2;25,4;17,3;13;88,6;62;5,9;1,7;
2010-08-23;,2;1015;16;22,5;17,6;15,6;90,7;71;6,5;1,6;
2010-08-24;0;1011,3;15,9;32,2;20,7;15,8;78,1;30;6,9;2,1;
2010-08-25;,2;1013,6;16,4;23,4;18,6;15,1;88,1;70;6,5;1,5;
2010-08-26;0;1012,4;16,9;30,2;19,9;15,6;84,4;49;8,7;2,1;
2010-08-27;0;1015,5;16,7;20,9;18,9;17,3;87,7;76;3,8;,8;
2010-08-28;0;1016,6;16,8;23,3;19,4;17,9;85,7;67;6,2;,7;
2010-08-29;,2;1015,7;15,7;24,6;17,7;14,3;88,5;61;6,3;1,1;
